asset_id,asset_type,file_or_directory,original_purpose,current_classification,current_value,reusable_for,limitations,thesis_role,keep_or_exclude,provenance_verified
A11,random_baseline_records,runs/random_baseline_audit_v10c24,audit baseline class/instance/bbox properties,evaluation_methodology_asset,establishes Random as a strong baseline in balanced large pools,baseline design and discussion,NEU protocol-specific,chapter 6 baseline audit,keep,True
A12,paired_200_seed_records,runs/stratified_condition_robustness_20260718,estimate fixed-pool selector variation,partial_positive_evidence,paired discovery effects and safety diagnostics,chapter 5 effect estimates,not independent production pools,chapter 5 primary evidence,keep,True
A13,YOLO_checkpoints,runs/dcal_xai/v2_backbone_main; runs/seed45_fixed_set_stability; runs/active_learning_v8_cold_start_confirmation,downstream utility and stability evaluation,reproducibility_asset,reusable frozen learners for audit,reproduction only under new authorization,development split reused; checkpoint sets are protocol-specific,chapter 6 provenance,keep,True
A14,sealed_predictions,runs/dcal_xai/v2_detector_signal_validity/predictions,GT-blind prediction freeze before error join,reproducibility_asset,15-checkpoint sealed prediction set,V2.3 audit reproduction,same 232-image development split,chapter 7 provenance,keep,True
A15,final_test_lock,docs/branch_decision_table_20260718.csv; run configs and logs,protect locked evaluation,evaluation_methodology_asset,documents zero final-test consumption across branches,research integrity statement,must remain protected,chapter 3 and limitations,keep,True
A16,protocol_documents,docs/*protocol*.md; scripts/04_dcal_xai/*protocol*.md,freeze endpoint/gate before runs,evaluation_methodology_asset,traceable staged validation design,framework chapter,branch-specific gates are not one universal threshold,chapter 3 core,keep,True
A17,gate_code,scripts/03_analysis; scripts/04_dcal_xai,automated branch decisions,implementation_asset,prevents silent post-hoc PASS promotion,reproduction and supplemental code,research prototype,methods supplement,keep,True
A18,unit_tests,scripts/04_dcal_xai/test_*.py; tests,validate audit invariants,reproducibility_asset,machine-checkable claim/gate integrity,artifact evaluation,not a substitute for external replication,appendix,keep,True
A19,metadata_audit,runs/metadata_feasibility_audit_20260718; docs/metadata_feasibility_decision_20260718.md,find independent production pool groupings,evaluation_methodology_asset,prevents proxy-to-production-lot overclaim,identifiability and future data collection design,no dataset passes independent-pool gate,chapter 5 identifiability,keep,True
A20,condition_figures,docs/figures,summarize discovery/safety/translation,implementation_asset,publication-ready evidence maps,thesis figures,must retain scope labels,"chapters 1, 5, 8",keep,True
A21,branch_decision_tables,docs/branch_decision_table_20260718.csv; docs/condition_map_master_20260718.csv,integrate branch outcomes,evaluation_methodology_asset,single traceable branch registry,evidence synthesis,summary rows must point to raw sources,chapter 3 and appendix,keep,True
A22,stopped_selector_variants,V10d/PDF V10c/D2R variants,search for stronger selectors,exclude_from_main_thesis,documents stopping discipline,brief appendix chronology only,would look like post-hoc method search if foregrounded,appendix branch log,exclude_main_keep_registry,True
A23,FN_extension_plan,docs/fn_failure_prediction_extension_feasibility_20260718.md,evaluate recall-repair follow-up,future_work_asset,frozen restart conditions without implementation,future work,post-hoc and no untouched validation,chapter 9,keep_future_only,True
A24,domain_adaptation_plan,C:\Users\user\Downloads\474aae46-65df-4446-bb82-de5f46bfe19b__학위논문_연구계획서_(전체_문서).pdf,language-aligned cross-domain adaptation,exclude_from_main_thesis,separate future supervised study,future proposal,not tested,future work only,exclude_main,True
A25,human_trust_claims,C:\Users\user\Downloads\4d8e6f7e-b94d-41b7-a14d-5f8ecfda569f_VLM_Self-Consistency_기반_설명_가능한_능동_학습_제조_현장_수용성_향상을_위한_타당성_연구.pdf,inspector acceptance and reinspection reduction,exclude_from_main_thesis,motivation only after citation verification,future human-subject protocol,no human study; numerical targets unverified,do not present as result,exclude_results,True
