evidence_id,research_question,dataset,protocol,strategy,metric,value,uncertainty,gate,result,evidence_status,inferential_unit,allowed_claim,prohibited_claim,source_file,source_row_or_key,verified
E032,Can benchmark metadata define independent pools?,GC10-DET; MPDD; VisA,metadata feasibility audit,EXIF/filename/category groups,datasets passing independent-pool gate,0,0/3 datasets,>=20 documented target-blind mixed groups,NO_GO,not_identifiable,dataset,Current benchmarks cannot test production generalization.,Metadata proxies are production lots.,docs/metadata_feasibility_decision_20260718.md,Dataset decisions table,True
E033,How much planned compute was explicitly avoided?,all branches,branch registry,validity gates,prevented detector model runs,45,minimum documented: D2R 15 + YOLOv8s 30,documented only,SUPPORTED,partially_supported,planned model run,At least 45 detector model runs were not launched.,GPU-hours or money saved.,docs/three_dataset_condition_map_decision_20260718.md,Validity-gated workflow value,True
E034,Was locked final test consumed?,all branches,branch registry,final-test protection,final-test evaluations,0,all documented branches,must equal 0,PASS,partially_supported,branch,The locked final test remained unused.,Final-test performance or generalization.,docs/branch_decision_table_20260718.csv,final_test_consumed=False for all rows,True
E035,Was the external protocol and selection frozen before GT audit?,DeepPCB,prospective aligned-reference selection-only,frozen residual richness,selection SHA-256,15b45b559b887b9abd53322b2919931330a0718bb031dc4dd1c98944a9450e2c,exact cryptographic hash,hash before annotation join,PASS,process_supported,one prospective branch,Protocol and selection were frozen before post-hoc GT audit.,The hash predicts downstream success.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,selection_sha256; protocol_sha256; script_sha256,True
E036,Does residual score relate to bbox count?,DeepPCB,eligible six-group parent gate,frozen residual richness,mean group Spearman score vs instances,0.412174268332,"group bootstrap 95% CI [0.290463,0.540022]",mean>=0.30; positive in >=5/6,PASS,prospective_secondary_supported,six predefined DeepPCB design groups,The frozen score had a positive relation with bbox count in this pool.,The relation establishes annotation or detector utility.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,aggregate.spearman_score_vs_instances; checks.g1_*,True
E037,Does the top20% enrich total bbox instances enough?,DeepPCB,eligible six-group parent gate,frozen residual richness,total bbox instance enrichment,1.107693434196,"group bootstrap 95% CI [1.048980,1.171691]",mean>=1.20,FAIL_STOP,confirmatory_negative,six predefined DeepPCB design groups,The primary effect-size gate failed and detector authorization stopped.,DeepPCB selector succeeded.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,aggregate.instance_enrichment_vs_random; checks.g2_instance_enrichment_mean_ge_1_20,True
E038,Was there an exploratory small-box enrichment?,DeepPCB,parent post-hoc GT audit,frozen residual richness,bbox area<=1024 enrichment,1.307590500814,"group bootstrap 95% CI [1.186109,1.474079]",secondary only; cannot pass parent,EXPLORATORY,exploratory_only,six predefined groups,An exploratory secondary small-box enrichment was observed.,1.307591 is a confirmatory PASS.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,aggregate.small_instance_enrichment_vs_random,True
E039,Is the selected bbox mix size-selective?,DeepPCB,frozen mechanism audit,unchanged frozen selection,small-share uplift,1.182816130335,"group bootstrap 95% CI [1.081407,1.371080]",CI low>1 plus six additional checks,PARTIAL_ONLY,exploratory_only,six groups,Small-share increased under the frozen selected set.,General small-defect utility was confirmed.,runs/deeppcb_small_defect_mechanism_audit/phase_a_decision.json,small_share_uplift; small_share_ci95_*,True
E040,Is the small signal group-independent?,DeepPCB,frozen mechanism audit,group dominance audit,max positive small-excess group share,0.457912502907,descriptive decomposition across six groups,<0.40,FAIL,exploratory_only,six groups,"One group explained 45.79% of positive excess, preventing A1 support.",The mechanism is group-independent.,runs/deeppcb_small_defect_mechanism_audit/phase_a_decision.json,dominance.max_group_positive_small_excess_share; checks.single_group_*,True
E041,Which bbox size range drove the secondary signal?,DeepPCB,frozen mechanism audit,predefined size bins,577-1024 px² bbox enrichment,1.335494801291,selected=599; expected_random=448.522899,descriptive post-hoc bin,MAIN_ENRICHED_RANGE,exploratory_only,pooled eligible six groups,The main enriched small-size range was 577-1024 px².,All tiny defects were enriched.,runs/deeppcb_small_defect_mechanism_audit/size_bin_enrichment.csv,size_bin=577-1024; sum query_boxes / sum expected_random_boxes,True
E042,Did the complete mechanism gate pass?,DeepPCB,frozen mechanism audit,spatial/confound/dominance checks,Phase A decision,A2_MECHANISM_AMBIGUOUS,all seven frozen checks,all checks required for A1,A2,confirmatory_negative,one read-only audit,Mechanism evidence remained ambiguous.,Spatial mechanism was confirmed.,runs/deeppcb_small_defect_mechanism_audit/phase_a_decision.json,phase_a_decision; checks,True
E043,Did SSIM produce an adequate development candidate?,DeepPCB,group92000 development-only benchmark,M2 SSIM,small recall; FP/image; brightness retention,0.178571; 0.972973; 0.200000,development-only point estimate on 111 trainval images,small recall>=0.50; FP/image<=1; brightness retention>=0.80,FAIL,confirmatory_negative,group92000 trainval 111,M2 met the FP budget but failed recall and brightness robustness.,SSIM methods are generally invalid.,runs/deeppcb_reference_residual_development/method_comparison.csv,method=M2_SSIM,True
E044,Was any frozen candidate authorized for external confirmation?,DeepPCB,group92000 development-only benchmark,M1/M2/M3,candidate decision,NO_CANDIDATE,exact frozen development decision,all adequacy checks,NO_CANDIDATE,confirmatory_negative,one development group,No tested candidate was authorized for external confirmation.,External reference-residual utility was validated.,runs/deeppcb_reference_residual_development/frozen_candidate.json,result,True
E045,Did the workflow authorize detector expansion?,DeepPCB,parent+mechanism+development chain,authorization workflow,detector training/inference count,0/0,actual observed actions,candidate required before detector screen,STOP,process_supported,one prospective external branch,The branch stopped before detector training and inference.,A counterfactual detector failure or improvement is known.,runs/deeppcb_reference_residual_development/frozen_candidate.json,result=NO_CANDIDATE; paired with parent/Phase A protected-state flags,True
E046,Was the official/final test consumed?,DeepPCB,protected split lock,official-test lock,official/final actual use,0/0,actual observed use,must remain zero,PASS,process_supported,one protected split,Official and final test actual use remained zero.,Counterfactual final-test performance or avoided-use count is known.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,official_test_used=false; final_test_used=false; split_lock,True
